name,Soc_grad,Stop_no
E00073417,18,1
E00073425,12,2
E00073420,10,2
E00073446,9,3
E00073425,12,3
E00073445,14,4
E00073530,16,4
E00073444,21,5
E00073558,23,5
E00073520,21,6
E00073549,15,6
E00073439,11,7
E00073439,11,8
E00073441,119,8
E00073182,100,9
E00174279,52,9
E00073419,24,9
E00174289,45,10
E00073167,58,10
E00073179,48,10
